"y","x","color_pal","title","year","artist","acuisition.year","medium","image_nail","accession_number"
1740,7,"#403222","Lady Mary Churchill at the Death of the Hare",1748,"Wootton, John",1979,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/T/T02/T02378_8.jpg","T02378"
1740,8,"#DDDFDE","Lady Mary Churchill at the Death of the Hare",1748,"Wootton, John",1979,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/T/T02/T02378_8.jpg","T02378"
1740,9,"#9D926D","Lady Mary Churchill at the Death of the Hare",1748,"Wootton, John",1979,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/T/T02/T02378_8.jpg","T02378"
1740,10,"#3E3526","A Gentleman in a Brown Velvet Coat",1747,"Highmore, Joseph",1925,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/N/N04/N04107_8.jpg","N04107"
1740,11,"#9E8B69","A Gentleman in a Brown Velvet Coat",1747,"Highmore, Joseph",1925,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/N/N04/N04107_8.jpg","N04107"
1740,12,"#C6AF87","A Gentleman in a Brown Velvet Coat",1747,"Highmore, Joseph",1925,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/N/N04/N04107_8.jpg","N04107"
1740,13,"#524939","Wooded Landscape with a Peasant Resting",1747,"Gainsborough, Thomas",1889,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/N/N01/N01283_8.jpg","N01283"
1740,14,"#979790","Wooded Landscape with a Peasant Resting",1747,"Gainsborough, Thomas",1889,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/N/N01/N01283_8.jpg","N01283"
1740,15,"#BFAF8C","Wooded Landscape with a Peasant Resting",1747,"Gainsborough, Thomas",1889,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/N/N01/N01283_8.jpg","N01283"
1740,16,"#4B3E28","Portrait of a Gentleman, possibly Hugh Marriott",1746,"Beare, George",1958,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/T/T00/T00201_8.jpg","T00201"
1740,17,"#977B4D","Portrait of a Gentleman, possibly Hugh Marriott",1746,"Beare, George",1958,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/T/T00/T00201_8.jpg","T00201"
1740,18,"#D5A874","Portrait of a Gentleman, possibly Hugh Marriott",1746,"Beare, George",1958,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/T/T00/T00201_8.jpg","T00201"
1740,19,"#3B332F","Landscape with Figures under a Tree",1746,"Gainsborough, Thomas",1896,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/N/N01/N01486_8.jpg","N01486"
1740,20,"#9C9A87","Landscape with Figures under a Tree",1746,"Gainsborough, Thomas",1896,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/N/N01/N01486_8.jpg","N01486"
1740,21,"#B9C2B2","Landscape with Figures under a Tree",1746,"Gainsborough, Thomas",1896,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/N/N01/N01486_8.jpg","N01486"
1740,22,"#4B4724","View of Copped Hall in Essex, from the Park",1746,"Lambert, George",1999,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/T/T07/T07555_8.jpg","T07555"
1740,23,"#D9CFAE","View of Copped Hall in Essex, from the Park",1746,"Lambert, George",1999,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/T/T07/T07555_8.jpg","T07555"
1740,24,"#A49A6D","View of Copped Hall in Essex, from the Park",1746,"Lambert, George",1999,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/T/T07/T07555_8.jpg","T07555"
1740,25,"#E7E1CF","Study for ‘The Marriage of Miss Whichcote of Harpswell with the Dean of York’-I",1749,"Highmore, Joseph",1986,"Graphite on paper","http://www.tate.org.uk/art/images/work/T/T04/T04218_8.jpg","T04218"
1740,26,"#E5DECB","Study for ‘The Marriage of Miss Whichcote of Harpswell with the Dean of York’-I",1749,"Highmore, Joseph",1986,"Graphite on paper","http://www.tate.org.uk/art/images/work/T/T04/T04218_8.jpg","T04218"
1740,27,"#D3CAB6","Study for ‘The Marriage of Miss Whichcote of Harpswell with the Dean of York’-I",1749,"Highmore, Joseph",1986,"Graphite on paper","http://www.tate.org.uk/art/images/work/T/T04/T04218_8.jpg","T04218"
1740,28,"#6D7165","Study of a Pumpkin Plant against a Rocky Background",1740,"French School 18th century",1856,"Chalk, pastel and watercolour on paper","http://www.tate.org.uk/art/images/work/D/D04/D04152_8.jpg","D04152"
1740,29,"#8D9183","Study of a Pumpkin Plant against a Rocky Background",1740,"French School 18th century",1856,"Chalk, pastel and watercolour on paper","http://www.tate.org.uk/art/images/work/D/D04/D04152_8.jpg","D04152"
1740,30,"#DFDDCF","Study of a Pumpkin Plant against a Rocky Background",1740,"French School 18th century",1856,"Chalk, pastel and watercolour on paper","http://www.tate.org.uk/art/images/work/D/D04/D04152_8.jpg","D04152"
1740,31,"#36322F","Mrs Salter",1741,"Hogarth, William",1898,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/N/N01/N01663_8.jpg","N01663"
1740,32,"#A47243","Mrs Salter",1741,"Hogarth, William",1898,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/N/N01/N01663_8.jpg","N01663"
1740,33,"#CDA573","Mrs Salter",1741,"Hogarth, William",1898,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/N/N01/N01663_8.jpg","N01663"
1740,34,"#A2CCD7","Westminster Bridge under Construction",1744,"Wilson, Richard",1983,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/T/T03/T03665_8.jpg","T03665"
1740,35,"#647965","Westminster Bridge under Construction",1744,"Wilson, Richard",1983,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/T/T03/T03665_8.jpg","T03665"
1740,36,"#BEDACE","Westminster Bridge under Construction",1744,"Wilson, Richard",1983,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/T/T03/T03665_8.jpg","T03665"
1740,37,"#5D5B4E","O the Roast Beef of Old England (‘The Gate of Calais’)",1749,"Hogarth, William",1984,"Etching and engraving on paper","http://www.tate.org.uk/art/images/work/T/T03/T03918_8.jpg","T03918"
1740,38,"#A49E8E","O the Roast Beef of Old England (‘The Gate of Calais’)",1749,"Hogarth, William",1984,"Etching and engraving on paper","http://www.tate.org.uk/art/images/work/T/T03/T03918_8.jpg","T03918"
1740,39,"#CBC4B7","O the Roast Beef of Old England (‘The Gate of Calais’)",1749,"Hogarth, William",1984,"Etching and engraving on paper","http://www.tate.org.uk/art/images/work/T/T03/T03918_8.jpg","T03918"
1740,40,"#DFD8C6","Study for ‘The Marriage of Miss Whichcote of Harpswell with the Dean of York’-III",1749,"Highmore, Joseph",1986,"Graphite on paper","http://www.tate.org.uk/art/images/work/T/T04/T04220_8.jpg","T04220"
1740,41,"#D3C9B5","Study for ‘The Marriage of Miss Whichcote of Harpswell with the Dean of York’-III",1749,"Highmore, Joseph",1986,"Graphite on paper","http://www.tate.org.uk/art/images/work/T/T04/T04220_8.jpg","T04220"
1740,42,"#C1B7A2","Study for ‘The Marriage of Miss Whichcote of Harpswell with the Dean of York’-III",1749,"Highmore, Joseph",1986,"Graphite on paper","http://www.tate.org.uk/art/images/work/T/T04/T04220_8.jpg","T04220"
1740,43,"#D3C4A4","James Harlowe tries to Join the Hands of Clarissa and Mr Solmes by Force",1745,"Highmore, Joseph",1986,"Graphite on paper","http://www.tate.org.uk/art/images/work/T/T04/T04195_8.jpg","T04195"
1740,44,"#E3D3B6","James Harlowe tries to Join the Hands of Clarissa and Mr Solmes by Force",1745,"Highmore, Joseph",1986,"Graphite on paper","http://www.tate.org.uk/art/images/work/T/T04/T04195_8.jpg","T04195"
1740,45,"#D5C9AF","James Harlowe tries to Join the Hands of Clarissa and Mr Solmes by Force",1745,"Highmore, Joseph",1986,"Graphite on paper","http://www.tate.org.uk/art/images/work/T/T04/T04195_8.jpg","T04195"
1740,46,"#413B36","Benjamin Hoadly, Bishop of Winchester",1741,"Hogarth, William",1910,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/N/N02/N02736_8.jpg","N02736"
1740,47,"#9C9393","Benjamin Hoadly, Bishop of Winchester",1741,"Hogarth, William",1910,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/N/N02/N02736_8.jpg","N02736"
1740,48,"#CBB4AC","Benjamin Hoadly, Bishop of Winchester",1741,"Hogarth, William",1910,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/N/N02/N02736_8.jpg","N02736"
1740,49,"#ECE6D6","Study for ‘The Marriage of Miss Whichcote of Harpswell with the Dean of York’-II",1749,"Highmore, Joseph",1986,"Graphite on paper","http://www.tate.org.uk/art/images/work/T/T04/T04219_8.jpg","T04219"
1740,50,"#E2DBCB","Study for ‘The Marriage of Miss Whichcote of Harpswell with the Dean of York’-II",1749,"Highmore, Joseph",1986,"Graphite on paper","http://www.tate.org.uk/art/images/work/T/T04/T04219_8.jpg","T04219"
1740,51,"#CCC6B6","Study for ‘The Marriage of Miss Whichcote of Harpswell with the Dean of York’-II",1749,"Highmore, Joseph",1986,"Graphite on paper","http://www.tate.org.uk/art/images/work/T/T04/T04219_8.jpg","T04219"
1740,52,"#40342B","I: Mr B. Finds Pamela Writing",1743,"Highmore, Joseph",1921,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/N/N03/N03573_8.jpg","N03573"
1740,53,"#A28548","I: Mr B. Finds Pamela Writing",1743,"Highmore, Joseph",1921,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/N/N03/N03573_8.jpg","N03573"
1740,54,"#CBA045","I: Mr B. Finds Pamela Writing",1743,"Highmore, Joseph",1921,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/N/N03/N03573_8.jpg","N03573"
1740,55,"#281C14","Henry Crispe of the Custom House",1746,"Frye, Thomas",1990,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/T/T05/T05784_8.jpg","T05784"
1740,56,"#A2845C","Henry Crispe of the Custom House",1746,"Frye, Thomas",1990,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/T/T05/T05784_8.jpg","T05784"
1740,57,"#CAB38E","Henry Crispe of the Custom House",1746,"Frye, Thomas",1990,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/T/T05/T05784_8.jpg","T05784"
1740,58,"#583D25","Mr Russell on his Bay Hunter",1740,"Seymour, James",1979,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/T/T02/T02372_8.jpg","T02372"
1740,59,"#D3D8C9","Mr Russell on his Bay Hunter",1740,"Seymour, James",1979,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/T/T02/T02372_8.jpg","T02372"
1740,60,"#A08256","Mr Russell on his Bay Hunter",1740,"Seymour, James",1979,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/T/T02/T02372_8.jpg","T02372"
1750,1,"#D7E5E3","A Sunset, with a View of Nine Elms",1750,"Scott, Samuel",1970,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/T/T01/T01235_8.jpg","T01235"
1750,2,"#7C7857","A Sunset, with a View of Nine Elms",1750,"Scott, Samuel",1970,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/T/T01/T01235_8.jpg","T01235"
1750,3,"#BBD1D0","A Sunset, with a View of Nine Elms",1750,"Scott, Samuel",1970,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/T/T01/T01235_8.jpg","T01235"
1750,4,"#DFC8AA","George Taylor Triumphing over Death",1750,"Hogarth, William",1996,"Chalk on paper","http://www.tate.org.uk/art/images/work/T/T08/T08212_8.jpg","T08212"
1750,5,"#BE9B80","George Taylor Triumphing over Death",1750,"Hogarth, William",1996,"Chalk on paper","http://www.tate.org.uk/art/images/work/T/T08/T08212_8.jpg","T08212"
1750,6,"#D0A889","George Taylor Triumphing over Death",1750,"Hogarth, William",1996,"Chalk on paper","http://www.tate.org.uk/art/images/work/T/T08/T08212_8.jpg","T08212"
1750,7,"#4D422E","Sir George Lee",1753,"Slaughter, Stephen",1964,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/T/T00/T00674_8.jpg","T00674"
1750,8,"#977B5B","Sir George Lee",1753,"Slaughter, Stephen",1964,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/T/T00/T00674_8.jpg","T00674"
1750,9,"#BF9470","Sir George Lee",1753,"Slaughter, Stephen",1964,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/T/T00/T00674_8.jpg","T00674"
1750,10,"#9A9888","A Morning, with a View of Cuckold’s Point",1750,"Scott, Samuel",1944,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/N/N05/N05450_8.jpg","N05450"
1750,11,"#5C503B","A Morning, with a View of Cuckold’s Point",1750,"Scott, Samuel",1944,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/N/N05/N05450_8.jpg","N05450"
1750,12,"#C1B18A","A Morning, with a View of Cuckold’s Point",1750,"Scott, Samuel",1944,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/N/N05/N05450_8.jpg","N05450"
1750,13,"#463322","The Match between Aaron and Driver at Maidenhead, Aug. 1754: Driver Winning the Third Heat",1754,"Roper, Richard",1979,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/T/T02/T02367_8.jpg","T02367"
1750,14,"#C4C091","The Match between Aaron and Driver at Maidenhead, Aug. 1754: Driver Winning the Third Heat",1754,"Roper, Richard",1979,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/T/T02/T02367_8.jpg","T02367"
1750,15,"#A49666","The Match between Aaron and Driver at Maidenhead, Aug. 1754: Driver Winning the Third Heat",1754,"Roper, Richard",1979,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/T/T02/T02367_8.jpg","T02367"
1750,16,"#2D2720","Ariccia",1752,"Wilson, Richard",1861,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/N/N01/N01097_8.jpg","N01097"
1750,17,"#959A9C","Ariccia",1752,"Wilson, Richard",1861,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/N/N01/N01097_8.jpg","N01097"
1750,18,"#D5D6CB","Ariccia",1752,"Wilson, Richard",1861,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/N/N01/N01097_8.jpg","N01097"
1750,19,"#322512","River Scene with Ruins",1756,"Dall, Nicholas Thomas",1900,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/N/N01/N01779_8.jpg","N01779"
1750,20,"#A4AD89","River Scene with Ruins",1756,"Dall, Nicholas Thomas",1900,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/N/N01/N01779_8.jpg","N01779"
1750,21,"#BFB57F","River Scene with Ruins",1756,"Dall, Nicholas Thomas",1900,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/N/N01/N01779_8.jpg","N01779"
1750,22,"#463A31","Lady Hall of Dunglass",1752,"Ramsay, Allan",1952,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/N/N06/N06066_8.jpg","N06066"
1750,23,"#A28968","Lady Hall of Dunglass",1752,"Ramsay, Allan",1952,"Oil paint on canvas","http://www.tate.org.uk/art/images/work/N/N06/N06066_8.jpg","N06066"
