"id","description"
1249,"The Rialto Theater is VERY old, possibly 70 years old. Many people have died there. In the bathroom a girl slit her wrists and climbed up to the balcony and bled to death in the seats. It is also said that a man went crazy in the projector booth. The doors to the stalls in the girl's bathroom shake. An apparition of an older man has been seen sitting in the seats. The older man has also been seen walking up and down the balcony stairs."
1256,"Was once a little town located in the mountains. In the late 1800s a local dam broke and killed a lot of people from all over. A lot of people were found in the tall, old oak tress dead. You can see people dressed in very old western clothing, people in the oak tress, and you can hear people talking."
1261,"This restaurant is believed to be haunted by a ghostly lady. People have claimed to see a lonely looking woman standing around by herself. When they attempt to get a closer look, she disappears. Money has also been known to disappear from tables."
1262,"The old power plant was de-commissioned as of 2004. But when it was operational there had been numerous sightings of a figure on the second deck of the old power plant. Station Operators, at night, have seen a person wandering by one of the electrical rooms; when followed they disappear into walls or through locked doors. Also, on the second and lower decks, a feeling of being watched or a person behind, when do one else is around. Furthermore, A former employee received six death sentences and he currently serves his time at San Quentin as one of the two ""Sunset Strip Slayers"". It is speculated that he might have started his killing spree while still employed at the power plant."
1263,"voices have been heard and a mysterious man lurks the hall and children's room. He's not malevolent unless you're over 12 years old."
1269,"Glen Haven Memorial Park - There is an alleged gravity hill and there is a statue next to the mortuary building that walks around at night."
1277,"Sightings of old nuns lurking around the third building hallway have been reported. Witnesses have also seen an old drama teacher in the drama lab and visions of blood in the hall ceiling."
1283,"Now a skateboard shop - NEXT TO ""WINSOR'S"" - cold spots, feelings of being watched feeling breath on your neck, and reports of a male apparition."
1284,"A young woman and her children were walking home from a football game when they were both brutally murderer and left in the stadium grounds. At night claims of children laughing and a woman crying are heard through out the neighborhood. Sometimes late at night two young children and their supposed mother are seen then vanish."
1302,"Ghosts everywhere. You can hear people chasing you. It was an old hospital that was closed but nobody knows why. It is two floors and they opened the bottom floor back up as a hospital but the top floor is definitely haunted."
1303,"Colossus - there's supposedly a child in a striped shirt who occasionally can be seen at night running through the supports underneath Colossus. That, and sometimes at night the lift chain can be heard running and the clanking of the anti-rollbacks, despite the ride being shut down for the night."
1304,"Magic Mountain - Cold spot and a presence felt."
1305,"Revolution - formerly the 76er - On roller coaster a girl working as an attendant was crushed and dragged by incoming cars when she accidentally stepped onto the track. Some employees mention that they have seen their co-worker by the tracks in the train station or in the tunnel shortly after the loop on the coaster. They mentioned that they saw the apparition and another employee mentioned they heard screams on another occasion. It appears these incidents happen after closing around 1 AM in the morning for some odd reason. The employee had been killed though during business hours."
1347,"Strong presence here. Cold spots, touching. There is a strong negative energy of a malevolent entity that haunts the building."
1348,"Cold spots and unexplained electrical malfunctions."
1349,"There is said to be a ghost nun at St. Mark School. In the fourth grade class room there is said to be a ghost nun haunting the room. There was a nun that used to work for the school who taught fourth grade. She died and came back to haunt the school. There have been sightings of her, and at occasional times you would see the door slam by its self with no windows open. The windows in the class room would open by them selves too."
1369,"Off of Nogales and Amar Rd there is an abandon Church where people are sacrificed and their blood is spread all over the walls, supposedly the ghost are violent. - June 2008 Correction/ additional information: the human sacrifice story is ridiculous. Though, the Church has a freaky presence around it. It's a bit secluded, tucked in the back of a hill. The only problem with that Church is it changes its religious affiliation every year or so. It was abandoned for a few years, but since has been occupied again. There’s an RV that's always parked in front. No trespassing."
1373,"This park is located on a hill with 3 entrances. It has been closed off because children have been raped and murdered there. People have seen a pathway leading to the house of the murderer. The man would take the children and rape and beat them. If you go there late at night you are able to hear the screams and the pleas of the children. A boy wearing a sweater with a massive scar on his face has been seen standing at the entrance of the first or second gate. He has been seen inviting people into the park. Telling them to come in and see what is inside. The boy has been seen at different ages, one as a child and the other as an adolescent. This place is VERY real.-  Extreme precautions should be taken if you dare to enter. This is no joke. a group of investigators where chased out by men carrying knives, this is not a safe place to visit."
1374,"Apparitions of three ladies killed by Car accident have been seen in front of the school."
1394,"There have been apparitions of a woman with long, dark hair, and a hooded figure standing among the dark trees at night with its eyes glowing red. Noises at night like keys jangling, creaking stairs, heavy footsteps and the like. Things also turned up missing that were never to be found."
1395,"The recreation center used to be an old ranch house that has the oldest eucalyptus trees in the state. In a riding accident a young boy was killed and almost decapitated. At night you can see the body looking down at you from the second story window."
1396,"In back room behind the dressing rooms, is a storage area and when no one is around mysterious noises and lights appear, You can heard loud music like a radio playing and voices and it is empty. They had mysterious fires in areas abrupt instantly in the store. In garden area sometimes you can see an old employee who died He walks thru the door into the store and fades away. In the receiving area you can see a worker walking around that hung himself. You see him by the area of where bicycles are stored. There was an employee who works in the food area and suddenly died. and every day for a few months around 3 pm (time she leave the store) the door alarms suddenly ring. Also a witness has seen strange things happening around her work station. There have been mysterious alarms going off, power outages, and even at times doors lock by them selves. When phones are turn off at night of closing they ring at times (which are located by dressing room). Sometimes you can hear footsteps and people talking on the stairwell and no one around going up to the offices up stairs. In certain areas you suddenly feel real cold and in some aisles you see things on floor after you put them back on shelves."
1397,"A janitor hung himself in the auditorium because he thought nobody liked him. Since then his ghost has been seen roaming the stage and the halls. Also, all the curtains move by themselves. Some students and teachers hear scratches on the door during class. That would also happen in the ladies restroom and the door would shake by itself."
1398,"Many fatal accidents reported in this area. Reports of eerie feelings, cold spots, sightings of children and handprints on cars, accompanied by the inside lights of the vehicle turning on."
1399,"Marilyn Monroe's ghost has been spotted hovering near her tomb."
1400,"People have claim to see ghost in be 10 room."
1401,"""Old Quaker cemetery whose decedent's are long since dead has been converted into a park. The headstones have been removed & one large marker listing the names of the dead is located in the second half of the park. Often the park is covered by a mysterious fog patch that does not extend past the roads to the houses on all sides. The fog also does not cover the road that dissects the two halves of the park. Locals say that the fog is the combined anger of the dead at the removal of the headstones. The park has very few visitors per year. Records of this information was once located in the old Whittier museum record room. Additional roomers include the bodies being moved to Rose Hills Cemetery, joggers reported the feeling of being watched, dead cats mysteriously found on the cemetery grounds, and the list goes on."
1402,"large Building built in 1903. Once used as an old Citrus packinghouse in the early 1900's. Now housing a Antique Mall since 1979 with 4 floors inside. The former Owners and Staff as well as the dealers experienced strange happenings. Two the stories are that 2 citrus plant workers died tragically in the mall. One story is that a worker had locked himself accidentally in the old freezer room in the basement and passed away. Another is unknown how but a worker died from machinery falling onto him in the back of the bottom floor. Dark shadowy figures have been seen in closing time. The cleaning crew has quit after hours when a woman cleaner screamed from the bottom floor claiming she saw a black figure watching her. Electrical appliances have sounded off with no batteries inside. Pictures have fallen feet away from where they were hung. Saucers and objects for sell have rolled or flung off onto the floors. A empty space has got the most attention where stairs use to be, cold spots and sensitive customers have felt a presence there. Curiously young children who know nothing of the mall refuse sometimes to enter the basement where the freezer accident occurred. King Richards is history all around and the staff claims that they feel no threat from the strange occurrences. Sometimes you just feel like they want to be noticed or known. Oddly enough the happenings really become more active around October through the holiday season. Its hard to separate the occurrences said one worker. the Antique items that are brought in by dealers some time hold a past with them as well. But for the feeling of King Richards you see, to know the difference. No harm from these ghost's just a remembrance of Whittiers History."
1403,"When in the wrestling room, sometimes heard the noise of basketball being played in the adjacent small (women's) gymnasium. Sounds include: sneakers squeaking on gym floor, basketballs bouncing, shouting. Also footsteps above... on the roof?"
1404,"In the middle of the Stadium there have been reports of a man or teen running laps, when people go to confront him he disappears right in front of them."
1405,"Haunted by children that died in a school bus accident."
1406,"The restroom in the 100 building is haunted. When you are in the restroom alone, sometimes either one faucet will turn on or all of them will turn on when there is nobody else in the restroom. And other times the doors to the stalls will open and close."
1407,"A section of the road Pushes your vehicle uphill when put in neutral and sometimes you hear a knocking noise under the vehicle or see human like shadows in the bushes. Satanic cults have been spotted there as well as UFO sightings. Cause is unknown."
1408,"A ghost named George who was supposedly hung by accident haunts the Auditorium. He is usually heard downstairs in the Green Room."
1409,"Brushing against us gently and holding our hands. The spirit is unknown. The spirit seems lonely and slightly sad."
1412,"Generals of the Civil War are seen in one room planning a strategic attack of some kind and several people that once lived their are also seen."
1413,"An apparition of a blond blue-eyed man has been seen by maintenance staff and visitors. The ghost was a victim of cholera or yellow fever and was a patient there during the Civil War. The young man appears to be confused and wanders aimlessly before vanishing."
1414,"In 1969,a young couple in their senior year of high school was brutally tortured and killed to death in the football field bleachers.Ghost sightings have been seen during football games.Two girls by the names of Elizabeth and Evelyn had once felt their legs being pulled while sitting in the bleachers. Once they looked down into the bleachers,they saw two faded shadows simply disappear at a glance.Numerous incidents have been reported all of which cannot be explained."
1415,"uneasy feelings in the ladies bathroom. also witnesses feel cold spots in there."
1620,"In the women's restroom, the water faucets have been known to turn on by themselves."
1621,"The Lady of the Lake - Believed to be haunted by Margaret Hersh Robertson. Margaret (1907-1993). Every morning, as was known by many lake residents, Margaret would swim out to the island. She did this early every morning. She has been sighted numerous times, after her passing, swimming seemingly along side a startled couple in a canoe. Her figure was just below the surface of the water in a bathing cap."
1628,"The ghost of a man is seen walking around the 3rd floor, stairs & roof. Rumor has it that the man was murdered several years ago by a jealous lover."
1636,"Apparition of a lady in a white dress with a white scarf on her head praying at the front row of the chapel that vanishes."
1645,"Supposed noises are heard there, and an apparition of a lady in gray white (not too clear, on that) is said to haunt the place. This place is located on Foothill Blvd. near the corner of Myrtle."
1646,"Band Room - its been known that a ghost walks the band room late at night while the chorus girls are getting ready."
1647,"janitors and teachers have said that during the night in the second floor of the main hallway you always feel like your being watched and it sounds like someone is sneaking up behind when you are alone."
1648,"This theatre is haunted by a spirit who was stabbed and later died when the theatre first opened. Most of the activity occurs around theatres 8 and 9. Theatre 9 is always eerily cold, even with the heaters on. Upstairs in the projection booth above #9, lights turned off by employees sometimes mysteriously come back on. It is also said you can see a figure's shadow when movies are on against the wall in theatre #6."
1649,"Near the intersection of Washington and Bluff Road, at the site of the Battle of the Rio San Gabriel that took place in 1847. Spanish soldiers have been seen walking around and sometimes follow passers-by."
1650,"while working on the second floor of the main building for homecoming week. fellow students were working late on decorations with a teacher. the intercom makes three beeping sounds to let the room know that a message is going to be relayed through the front office. the three beeping sounds were made and know one was working the front office. the students heard whispering noises and went downstairs to check it out. one of them saw a balloon in the middle of the hall and popped it. right when she popped it the lights went out and screaming was going off all over the place."
1681,"Anytime of the day or night, you can hear footsteps and voices coming from the hallways and men's restroom. Many employees claim when they are working at the office late into the evening, they hear voices and footsteps, the problem is that they are the only ones at the office. Park Rangers have reported hearing voices coming from the men's restroom. The source of the haunting has not been determined, but two parks and recreation employees have passed away in the last 10 years. The office was once home to a doctors office. Do not attempt to trespass, you will be arrested."
1682,"Whittier Narrows Park - The figure of a Spanish conquistador on horseback can be seen occasionally around the intersection of San Gabriel Blvd and Lincoln Ave. It is said he drowned here looking for his gold buried near the river's beach. Mysterious fogs roll in and out here a lot as well."
1683,"The halls of this building are virtually covered by darkness for most of the time during services. Three children have been known to cross the hallways from one door to another that are completely adjacent to each other. It was once said that three children were taken into a restroom stall by their father, and each were killed by slitting their throats because their father was extremely sorrowful over the death of his wife, and murdered his children to eliminate his memory of his love."
1694,"back in the late 80's a woman was hung in the c building. Now if you walk by C building late at night it is said that you can hear a woman struggling. In the auditorium when the lights are turned off and you are by yourself you can hear people laughing at you and hear mysterious footsteps."
1745,"Witnesses have heard loud footsteps and opening and closing of doors when the halls are lonely. The girls gym room is haunted students have heard lockers open and close when no one is present."
1746,"Inside the main school, it is known that a former Principal and possibly a child haunts this school. From balloons passing down the halls, door knobs attempting to turn by themselves, slamming doors, and a cry or screams of a child somewhere inside the hallways of the building. The alarms go off in the building for unknown reasons late at night."
1747,"There have been sightings of ghosts in one of the occupied buildings. A woman was seen walking threw a wall and another time was spotted standing by the shower room. Dark figures have been seen in office areas and noise comes from the kitchen when no one is in there. A mist was seen floating knee high down the hall then disappearing into thin air. This activity has happened between 2003-2004. There has been talk of things prior to this but nothing spcific."
1748,"A boy in the 1980's at the age of 15 was working out by him self in the weight room when a bar fell on his on his head while bench pressing , crushing his head and bled to death he lied there on the floor till the janitor found him dead. It is know that you could here him still working out at night."
1805,"Update: Now Closed down - When the place is empty you can hear font steps, things get moved around. Workers report being chased out by something."
1806,"girls locker room - Witnesses report cold spots, also feel a presence around you of a little girl that runs around the locker room when you're alone. Others have reported an Aztec Indian in full dress at the school."
1807,"The train tracks behind Joshua Tree Elementary School. A black figure has been seen."
1808,"Sierra Highway and Ave S - Ghost of a fisherman has been reported to lash out, slurring viciously, ordering them to leave, also tales of black figures climbing into the trees and vanishing."
1810,"Formerly listed as Glass Chapel - The site where Marilyn Monroe & Joe DiMaggio where married. The only strange thing about this place is problems with cell phones. Cell Phones signals are hard to receive in this area."
1811,"It was something to do with a lady and her baby. Possibly, they used to be the keepers of the lighthouse. Rumor is she killed her baby then committed suicide. People say that if you go there at night you can either see her or hear a woman screaming."
1812,"Wayfarers Chapel - The Wayfarers' Chapel was designed by Frank Lloyd Wright Jr. and overlooks the cliffs and ocean. The garden behind the church has had much activity including indistinct wispy fog shapes at night. A giant white owl that appears and then disappears. Voices that call people by name. An old Indian man that appears off in the distance weeding or tending the plants who vanishes when approached. Behind the church, up in the hills, is rumored to be a small cemetery that might be the source for some hauntings."
1813,"(3 miles S. of Redondo Beach.) Apparitions of dead skin divers, odd traveling lights, voices."
1814,"the wealthy Vanderlip family lived in a mansion in PV, one day the wife went crazy and chopped up her family and buried them in the walls of the house. She also killed her two dogs and then hung herself from a wooden beam in the living room ceiling. The dogs reportedly haunt the yard and scare away trespassers. The woman and her family still haunt the house itself. Sightings of glowing dogs have been reported and members of the murdered family have been seen in the windows of the abandon house. Sometimes at night you can hear the children crying for help."
1815,"when alone in the office you hear people talking in the lobby after closing hours. Some employees have said when alone they feel someone behind them and when they turn around, there is no one there, also in exam rooms you hear a little boy laughing and caresses your hair."
1816,"There is a cold spot in the lobby by the cashier. In the restroom you can here a little boy crying."
1817,"When it is in the night you could hear the wind and you suddenly feel like someone is watching and its a shape of a girl with red eyes."
1819,"Off of Green St. Located right under suicide bridge. people have reported hearing voices, seeing orbs, and feelings of anger and feel very unwelcome. Doors have been reported to move on their own. Woman rumored to have killed herself unable to handle the voices after being at the asylum."
1820,"Old Hotel - On Lake St. where it ends near the mountains of Angeles Crest, there use to be a old hotel on the mountain, people have numerous things around the old ruins and around Echo mountain in Angeles Crest, where the hotel use to be."
1821,"A murder has occurred there, if you look carefully you can see a woman and her husband either dancing or fighting. Also at the front yard a girl has been seen about the age of 2 or 3 running around with a doll in her hand."
1822,"There have been door knobs that turned when no one was in the hall, shadows passing under the doors, footsteps heard, faucets turned on in some apartments, heavy perfume smells, chains rattling. Some apartments are more haunted than others."
1823,"It is said that a ghost woman has been seen on the very top floor of this hotel in an all white night gown."
1824,"Strange noises, and people following you can be heard there is a haunted house on the hills to and a mental hospital"
1825,"nestled in the hills overlooking the Colorado bridge ( suicide bridge ) a old run down mansion zigzagged with caution tape and broken and boarded up windows reveals a lurky layer of ghost / ghost of wild animals and even voices"
1840,"Around midnight a lady wearing a white wedding dress was seen walking towards visitors in the parking lot then disappears."
1841,"Heard galloping horses; seen spirit coyotes surrounding a particular figure with some sort of head dress; and apparitions."
1842,"Was once a College of the Performing Arts, and it has been reputedly haunted by the benevolent spirit of its founder, Gilmore Brown. Long after his death, and when the college was still operating; the elevator in the classroom tower building would often stop without command on the floor where Mr. Brown's office was located. Many actors and technicians have felt a spirit watching the proceedings and one evening."
1843,"Once a school of theater arts and now a state historic landmark theater, is said to be haunted by the spirit of its founder, Gilmore Brown. The elevator mysteriously stopped and started, and often stopped for no reason on the floor of Mr. Brown's offices. Hear a distinct male voice saying ""hello,"" but there is no one in the room."
1844,"Two guest were staying in a room sleeping. In the middle of the night, the women felt someone grab her leg from the end of the bed."
1848,"it is said that in the school auditorium lights flicker on and off and screams of a girl are heard. and a deep laughter is heard. a flute has also been heard when no one is actually there. in the hallways connecting to the from the auditorium to the music room there are shadows seen of a young girl and a flute is always misplaced."
1849,"You can hear a girl screaming for help. That occurs like around midnight. Some people have witnessed the murder of the girl repeat itself time after time. You can see the girl being thrown inside the shower after her bloody murder.."
1851,"The Little Theater (aka the Drama Room) is supposedly haunted by a former teacher named Mr. Letty. His wake was held (with a portrait rather than his actual body in casket) in the school, but his spirit never seemed to have left the room. Costumes have been known to have mysteriously come off their racks and scattered on the floor. Doors are unlocked and opened on their own. Lights begin to dim and turn on & off by themselves. Mysterious noises are heard late at night. One student saw the apparition's face peek through a curtain in the Little Theater's office during drama class. And one teacher even claimed that when he once tried to sit in one of the theater seats, it was very, very hot."
1852,"Reports of musket fire and screaming."
1853,"In room 9, reports of an apparition of a boy doing school work, believed to be a boy that died in a horrible car accident."
1868,"Corner of Garey & Holt. St -  Multiple entities, footsteps, slamming doors, arguments, apparitions, physical phenomena such as potted trees whose tops touch the floor for a few minutes and then spring to original position. Whatever is there does definitely like to share the space with the living."
1869,"The acute building at the developmental center is thought to be the place with the most hauntings and activity, with a morgue in the basement for clients that pass. All through out the center, doors suddenly lock and unlock themselves. Keys spin around in the locks. Footsteps and voices can be heard on the residences. Figures can be seen going down the halls, washing there hands, or just playing with staff."
1870,"in the band room there are 2 ghosts. One of them haunts the closet, when someone is changing by themselves they have a feeling of being watched. The other haunts the back (front) left door, when there is no wind at all the door either swings open or slams shut all of a sudden and sometimes it refuses to open even if you pull/push on it. - April Update: Located behind the school is an empty lot, which is what remains of Palomares Cemetery. Many believe this is why there are disturbances at the school. The only sign that the cemetery was there is a very small park (the size of a bathroom) and plaque located on the east side of the school."
1871,"Update: This cemetery is now closed to the public, because of vandalism the police will be called. - This cemetery was the original Old Settler's cemetery from the Mid 1800's. It's been the site of a lot of vandalism over the years. At night a male figure can sometimes be seen walking through the small cemetery disappearing into a headstone. The cemetery will be very still and quiet, strangely quiet considering it is under a freeway. If respect is given, it will remain quiet, but as soon as anyone starts messing around, a hot wind picks up out of nowhere. It can only be felt in the cemetery. Items have been reported to disappear and reappear in other parts of the cemetery that had not been visited."
1880,"Typical lighthouse story of a waiting woman. It has been detailed on the news & maybe on Unsolved Mysteries. There were always stories about the Coast Guard being unable to keep the place staffed - lots of transfer requests."
1894,"There are two black iron gates standing along the roadside of Sunset street in Redlands. Extremely unusual things are supposed to happen after crossing these gates, such as, a ghost with a headless cat comes running after you, a bloody bull's head rolls down the drive-way, and so on. The black iron gates are still sitting on the road, but the trail leading to the house has been hidden by bushes and trees.  Update: Has been torn down and built over."
1897,"There have been many sightings of a ghost named Jake in the High schools Auditorium, he died there in the 1940's. There are also footsteps that are supposed to be from Jake walking up the wall. There have been loud knocks on the walls when no one is on the other side of them, lights turning on and off, and sightings and sounds from a staircase leading up to the sound booth. Some other happenings in the auditorium are paper airplanes falling from the catwalk and landing directly center stage. Students experienced cold chills in one of the staircases leading up to the sound/light booth. Keys that had been lost several years before at some other high school had fallen from nowhere next to the owner of them at RUHS. Another guy has died in that auditorium about a year ago when he had a heart attack while visiting the bathroom. No known experiences have occurred in the men's bathroom yet except that his blood is still stained into the grommet of the tile."
1933,"A student who shot himself in the parking lot is still seen at night in the front parking lot. also student have heard people crying in the restrooms of the 400 and 600 buildings."
1934,"Teachers been knowing that the 500 building is haunted. Sometimes the janitor have been touch on the shoulder while cleaning up. Many teachers told the student to not hang around there, but they always say ""its a tradition for the 8th graders"" students from 2001 reported that they are being watch at all times."
1935,"a few years ago an MTA bus crashed into a small car unfortunately killing one of the passengers. The wreckage scar still remains. People say that a shadowy figure can be seen standing underneath the tree as if waiting for something. People say that they hear, or feel someone when waiting at the crosswalk where the accident occurred."
1937,"One of the faculty members died in a car accident right in front of the school. Since then, at night students have been reporting a lady wearing torn up clothes and scars through her face standing in the middle of the road."
1997,"The first floor is haunted primarily by the guest who killed himself in room 130. It is said that a man who was very depressed decided to commit suicide by slitting his wrists and making his way from the bedroom to the bathroom where he was found by the maintenance engineer. To moment you enter the room you are greeted with a presence of this man. Its almost impossible to sleep in this room although its been renovated completely. Many guests have asked to move due to having the feeling that someone is watching. The hotel will rarely rent this room out just to avoid scares."
1998,"Many employees have experienced in park phones ringing at all hours of the night. Most of the time they come from the Wave Cove attraction. The line is usually static and upon investigation security guards have found the phone hanging and swinging as if just dropped. Some guards have reported hearing the voice of a young girl asking for help. Night guards have also experienced their names being called while walking through the upper pavilion food court and heard footsteps as if someone is running up from behind them. Nothing has even been reported being seen but always audible. Several years ago a small girl drowned in the Wave Cove. This is believed to be the spirit that makes herself known. - September 2004 correction: A little girl drowned in the Wave Pool (many others also did, that is why you cannot go out swimming in it unless you have a tube), and she was sent to first aide. Where the freezer storage for the lower plaza food area is happens to be where first aide used to be located. This place is called ""The Dungeon"". People say that they have seen a girl in there, and they are afraid to go back there."
1999,"Waitresses have seen a little girl with long hair who is to believe to be Indian has been seen walking in the restaurant with customers and also tricks get played on the servers glasses falling and people being tripped if you go into the restaurant at the bar on the wall on the west side you will see a old picture of a bunch of cowboys and sometimes you will see just on huge face in the picture when we see that face we knew we were in for a fun time with them . The building is very old was know as one of the original stagecoach stops."
2000,"This mansion was built in 1887, as you can see it's very old. There have been reports of banging on windows, the doorbell ringing by itself, sounds of someone trying to pull open a locked door, and noises of things sliding across the floor."
2028,"Less than 2 miles away from the San Gabriel Mission which houses a historical cemetery, it is rumored that the Gabrielino Site was built on a cemetery of the very same tribe of Indians from which it gets its name. There have been reports from sports teams coming home from away games at night hearing strange sounds such as children crying even when the campus is empty and the hazy apparition of a body that appears down hallways only to disappear when approached."
2029,"have been known to close doors softly if people leave them open, almost politely, sometimes you can hear soft voices whispering as if to not disturb anyone. Phone calls are made from rooms that are not occupied, including the underground tunnel, the basement and the attic. Kitchen has electricity go on and off for no reason. It is thought that the spirits are of servants who have passed on. Face of man has been seen in some windows after the last people leave."
2030,"The San Gabriel Civic Auditorium s past is very long and there are many stories of hauntings. Back was being built underground tunnels were built under the length of the building. They were built so that the owner (nicknamed Uncle John) could go from backstage to the foyer. When Uncle John died the tunnels went unused for years and when the depression came those tunnels were used as catacombs to house dead bodies. Once they were filled the catacombs were sealed. In the men s restroom in the front there is a door. When you open that door there is just a brick wall. When a crew tried to breach the wall they got five feet and there was still brick. Why would some one seal a tunnel in more than five feet of brick? No one will ever know unless the try to breach it again. Now to the stories. There is a drop that was preserved because it was the only remaining drop from the original stage. Some times during the Temple City High School musical that drop swings unintentionally. There is no wind and no one ever touched that drop. A psychic was brought in and they said they saw a man swing on the drop. Another story is that there are TV monitors on stage left that broadcast what is being shown on stage. In 2003 and there during the Music Man there was a person seen in the second story window on one of the houses. Many stage crew, tech crew, and actors saw this man on the TV monitor. Also many of the audience saw this man too. The problem with this is that there is no way for a man to be standing in the second story window because there is no ledge or anything for him to stand on. The man was later recognized as Uncle John. There are also stories of a little girl who roams the halls and a old stage manager who roams the halls at night."
2031,"A young student hung himself at the basketball courts. And 2 students died at the wash at the time of EL Nino Storm trying to skip school that day."
2032,"Bathroom towel dispensers are heard being used and a girl is seeing dangling that had hung her self off of the library balcony."
2033,"In the old church, very often it will suddenly get very cold, you can ""sense"" something there but when you look around there is nothing, for such a beautiful historic church the feeling of foreboding is amazing."
2322,"Young man killed by drunk driver on that road. Driver was convicted and committed suicide. Accident appears to recreate itself, most strongly on the anniversary of the accident. CHP has had reports of accidents at that area, caused by people swerving to miss the white car, although later investigations show that the white car was never there."
2327,"A few years ago, a girl hung herself on the bridge. At night, people hear and see people running around the track, even though there is nobody there."
2328,"It’s said that there is a female ghost that walks in and out of the kitchen, goes around the tables, watches what people order, sits there and admires what you eat."
2329,"Students have reported seeing a ""white nun"" roaming the library. Many girls have claimed to have heard the piano in one of the school buildings being played, while no one was in the building. After a student drowned in the school, pool stories surfaced of the victim tugging at the swimmers legs."
2330,"This is a retirement home with its own church, cemetery and about 200 residents. A former employee who used to work in the kitchen as one of three supervisors. Reports in the three years that they worked their they saw all types of unexplainable things. At one point seven of many of the staff saw what looked like a hazy white long sleeve shirt, with no head or legs, wondering around in the library as if looking for a book. When they turned the lights on it just disappeared and a few minutes after the lights were turned off it came back. But the scariest encounter they had was when they saw a 10 lb frying pan come off its hook and get thrown towards them, with no one anywhere near. Many there have stories with ghosts or things that they just couldn't explain."
2332,"Workers have reported hearing whistling in the arena after closing. The arena has also been reported to fill up with fog, long after the fog machines have been shut off. The light located near the back exit has been seen to mysteriously change colors."
2333,"Screams can be heard from these people, and strange lights can be seen from the flashlights they once carried."
2334,"Gravity Hill - On this hill, if you are facing downhill in your car, stop, and place the car in neutral, you will go backwards up the hill. Fingerprints are reported to be found as well. According to legend, a girl took her parents’ car for a wild ride with friends and lost control on this hill. The car spun out of control and killed herself and her three friends. Now they try to push you back up the hill."
2335,"Owners noticed that the house had very cold spots near the fireplaces, library, kitchen and pantry. The kitchen clock would cease working when certain people entered the kitchen. From time to time you can hear someone walking across the butler's pantry floor, to the formal dining room."
2345,"Burnt down insane asylum -  Strange feelings, weird occurrences, burnt rubbish, human remains, human sacrifice materials, and extreme temperature difference from outside."
2370,"This old church, located on Leland Avenue in San Francisco has a history of hauntings. Late at night, footsteps can be heard walking up the stairs, doors shut, etc. Also, on more than one occasion, late at night, doors that normally open easily will be impossible to open, as if a ton of bricks is on the other side of the door. Later, the doors will be found wide open."
2374,"Every Business that is built here starts off good but eventually goes down and they are forced to go out of business! It doesn't matter what business it is, it will go under! The land is small, at the corner of the street, and surrounded by a brick wall all around! The source of the curses power is this brick wall! It is rumored but not proven that the curse will be lifted once the wall comes down!! But no one is certain! There was once a gas station, then a Walgreen’s pharmacy and now a Famima food mart!"
